2024-06-13 15:20:38,120 Starting bot
2024-06-13 15:20:41,659 Starting threads
2024-06-13 15:20:41,663 Starting main loop
2024-06-13 15:20:41,663 Game region: (0, 0, 1616, 939)
2024-06-13 15:20:46,975 Detected game mode/map None 
2024-06-13 15:20:52,843 Detected game mode/map 4 SAHA
2024-06-13 15:20:52,979 Moving to hill: (808, 656)
2024-06-13 15:20:53,366 Moving to hill: (808, 656)
2024-06-13 15:20:53,742 Moving to hill: (808, 656)
2024-06-13 15:20:54,113 Moving to hill: (808, 656)
2024-06-13 15:20:54,486 Moving to hill: (808, 656)
2024-06-13 15:20:54,863 Moving to hill: (808, 656)
2024-06-13 15:20:55,251 Moving to hill: (808, 656)
2024-06-13 15:20:55,639 Moving to hill: (808, 656)
2024-06-13 15:20:56,022 Moving to hill: (808, 656)
2024-06-13 15:20:56,399 Moving to hill: (808, 656)
2024-06-13 15:20:56,783 Moving to hill: (808, 656)
2024-06-13 15:20:57,153 Moving to hill: (808, 656)
2024-06-13 15:20:57,513 Moving to hill: (397, 447)
2024-06-13 15:20:57,885 Moving to hill: (397, 448)
2024-06-13 15:20:57,984 Detected game mode/map 4 SAHA
2024-06-13 15:20:59,600 Moving to hill: (807, 904)
2024-06-13 15:20:59,978 Moving to hill: (807, 904)
2024-06-13 15:21:00,349 Moving to hill: (807, 904)
2024-06-13 15:21:00,726 Moving to hill: (807, 904)
2024-06-13 15:21:01,099 Moving to hill: (807, 904)
2024-06-13 15:21:01,473 Moving to hill: (807, 904)
2024-06-13 15:21:01,846 Moving to hill: (807, 904)
2024-06-13 15:21:02,221 Moving to hill: (807, 904)
2024-06-13 15:21:02,597 Moving to hill: (807, 904)
2024-06-13 15:21:02,983 Moving to hill: (807, 904)
2024-06-13 15:21:03,131 Detected game mode/map 4 SAHA
2024-06-13 15:21:03,424 Moving to hill: (807, 904)
2024-06-13 15:21:03,797 Moving to hill: (807, 904)
2024-06-13 15:21:04,169 Moving to hill: (807, 904)
2024-06-13 15:21:04,918 Moving toward ally at (1030, 315)
